date,close-contact,tabligh,surveillance,hadr,import
24/1/2020,0.0,0.0,0.0,0.0,0.0
25/1/2020,0.0,0.0,0.0,0.0,0.0
26/1/2020,0.0,0.0,0.0,0.0,0.0
27/1/2020,0.0,0.0,0.0,0.0,0.0
28/1/2020,0.0,0.0,0.0,0.0,0.0
29/1/2020,0.0,0.0,0.0,0.0,0.0
30/1/2020,0.0,0.0,0.0,0.0,0.0
31/1/2020,0.0,0.0,0.0,0.0,0.0
1/2/2020,0.0,0.0,0.0,0.0,0.0
2/2/2020,0.0,0.0,0.0,0.0,0.0
3/2/2020,0.0,0.0,0.0,0.0,0.0
4/2/2020,0.0,0.0,0.0,0.0,0.0
5/2/2020,0.0,0.0,0.0,0.0,0.0
6/2/2020,0.0,0.0,0.0,0.0,0.0
7/2/2020,0.0,0.0,0.0,0.0,0.0
8/2/2020,0.0,0.0,0.0,0.0,0.0
9/2/2020,0.0,0.0,0.0,0.0,0.0
10/2/2020,0.0,0.0,0.0,0.0,0.0
11/2/2020,0.0,0.0,0.0,0.0,0.0
12/2/2020,0.0,0.0,0.0,0.0,0.0
13/2/2020,0.0,0.0,0.0,0.0,0.0
14/2/2020,0.0,0.0,0.0,0.0,0.0
15/2/2020,8.0,0.0,0.0,2.0,0.0
16/2/2020,0.0,0.0,0.0,0.0,0.0
17/2/2020,0.0,0.0,0.0,0.0,0.0
18/2/2020,0.0,0.0,0.0,0.0,0.0
19/2/2020,0.0,0.0,0.0,0.0,0.0
20/2/2020,0.0,0.0,0.0,0.0,0.0
21/2/2020,0.0,0.0,0.0,0.0,0.0
22/2/2020,0.0,0.0,0.0,0.0,0.0
23/2/2020,0.0,0.0,0.0,0.0,0.0
24/2/2020,0.0,0.0,0.0,0.0,0.0
25/2/2020,0.0,0.0,0.0,0.0,0.0
26/2/2020,0.0,0.0,0.0,0.0,0.0
27/2/2020,0.0,0.0,0.0,0.0,0.0
28/2/2020,0.0,0.0,0.0,0.0,0.0
29/2/2020,0.0,0.0,0.0,0.0,0.0
1/3/2020,2.0,0.0,0.0,0.0,0.0
2/3/2020,0.0,0.0,0.0,0.0,0.0
3/3/2020,7.0,0.0,0.0,0.0,0.0
4/3/2020,14.0,0.0,0.0,0.0,0.0
5/3/2020,5.0,0.0,0.0,0.0,0.0
6/3/2020,0.0,0.0,0.0,0.0,0.0
7/3/2020,0.0,0.0,0.0,0.0,0.0
8/3/2020,43.0,0.0,0.0,0.0,0.0
9/3/2020,17.0,0.0,0.0,0.0,0.0
10/3/2020,12.0,0.0,0.0,0.0,0.0
11/3/2020,16.0,0.0,1.0,0.0,0.0
12/3/2020,3.0,0.0,2.0,0.0,0.0
13/3/2020,1.0,0.0,0.0,0.0,0.0
14/3/2020,3.0,0.0,0.0,0.0,0.0
15/3/2020,0.0,0.0,0.0,0.0,0.0
16/3/2020,4.0,0.0,2.0,0.0,0.0
17/3/2020,0.0,433.0,5.0,0.0,0.0
18/3/2020,0.0,80.0,7.0,0.0,0.0
19/3/2020,0.0,63.0,0.0,0.0,0.0
20/3/2020,42.0,48.0,6.0,0.0,0.0
21/3/2020,25.0,65.0,1.0,0.0,0.0
22/3/2020,0.0,131.0,0.0,0.0,0.0
23/3/2020,0.0,123.0,0.0,0.0,0.0
24/3/2020,47.0,43.0,2.0,0.0,0.0
25/3/2020,94.0,71.0,7.0,0.0,0.0
26/3/2020,153.0,60.0,19.0,0.0,0.0
27/3/2020,83.0,20.0,5.0,0.0,0.0
28/3/2020,7.0,70.0,7.0,0.0,0.0
29/3/2020,28.0,47.0,4.0,0.0,0.0
30/3/2020,36.0,36.0,4.0,0.0,0.0
31/3/2020,21.0,41.0,7.0,0.0,0.0
1/4/2020,64.0,39.0,20.0,0.0,0.0
2/4/2020,39.0,37.0,4.0,0.0,0.0
3/4/2020,27.0,58.0,4.0,0.0,0.0
4/4/2020,46.0,80.0,5.0,0.0,0.0
5/4/2020,97.0,46.0,2.0,0.0,0.0
6/4/2020,0.0,0.0,0.0,0.0,0.0
7/4/2020,172.0,66.0,1.0,0.0,0.0
8/4/2020,57.0,25.0,0.0,0.0,0.0
9/4/2020,65.0,19.0,1.0,0.0,0.0
10/4/2020,-1238.0,19.0,0.0,0.0,0.0
11/4/2020,0.0,50.0,0.0,0.0,0.0
12/4/2020,0.0,52.0,5.0,0.0,0.0
13/4/2020,0.0,28.0,1.0,0.0,0.0
14/4/2020,0.0,54.0,8.0,0.0,0.0
15/4/2020,0.0,20.0,3.0,0.0,0.0
16/4/2020,0.0,15.0,1.0,0.0,0.0
17/4/2020,0.0,7.0,2.0,0.0,0.0
18/4/2020,0.0,0.0,3.0,0.0,0.0
19/4/2020,0.0,4.0,0.0,0.0,0.0
20/4/2020,0.0,1.0,0.0,0.0,0.0
21/4/2020,0.0,12.0,2.0,0.0,0.0
22/4/2020,0.0,15.0,1.0,0.0,0.0
23/4/2020,0.0,35.0,0.0,0.0,0.0
24/4/2020,0.0,62.0,7.0,0.0,0.0
25/4/2020,0.0,37.0,1.0,0.0,0.0
26/4/2020,0.0,18.0,0.0,0.0,0.0
