date,total-cases,cases,discharged,death,icu
24/1/2020,0,0.0,0.0,0.0,0.0
25/1/2020,3,3.0,0.0,0.0,0.0
26/1/2020,4,1.0,0.0,0.0,0.0
27/1/2020,4,0.0,0.0,0.0,0.0
28/1/2020,4,0.0,0.0,0.0,0.0
29/1/2020,7,3.0,0.0,0.0,0.0
30/1/2020,8,1.0,0.0,0.0,0.0
31/1/2020,8,0.0,0.0,0.0,0.0
1/2/2020,8,0.0,0.0,0.0,0.0
2/2/2020,8,0.0,0.0,0.0,0.0
3/2/2020,8,0.0,0.0,0.0,0.0
4/2/2020,10,2.0,0.0,0.0,0.0
5/2/2020,12,2.0,1.0,0.0,0.0
6/2/2020,12,0.0,0.0,0.0,0.0
7/2/2020,12,0.0,0.0,0.0,0.0
8/2/2020,16,4.0,1.0,0.0,0.0
9/2/2020,16,0.0,1.0,0.0,0.0
10/2/2020,18,2.0,0.0,0.0,0.0
11/2/2020,18,0.0,0.0,0.0,0.0
12/2/2020,18,0.0,0.0,0.0,0.0
13/2/2020,19,1.0,0.0,0.0,0.0
14/2/2020,19,0.0,4.0,0.0,0.0
15/2/2020,22,3.0,0.0,0.0,0.0
16/2/2020,22,0.0,1.0,0.0,0.0
17/2/2020,22,0.0,1.0,0.0,0.0
18/2/2020,22,0.0,2.0,0.0,0.0
19/2/2020,22,0.0,4.0,0.0,0.0
20/2/2020,22,0.0,2.0,0.0,0.0
21/2/2020,22,0.0,0.0,0.0,0.0
22/2/2020,22,0.0,0.0,0.0,0.0
23/2/2020,22,0.0,1.0,0.0,0.0
24/2/2020,22,0.0,2.0,0.0,0.0
25/2/2020,22,0.0,0.0,0.0,0.0
26/2/2020,22,0.0,0.0,0.0,0.0
27/2/2020,23,1.0,2.0,0.0,0.0
28/2/2020,23,0.0,0.0,0.0,0.0
29/2/2020,25,2.0,0.0,0.0,0.0
1/3/2020,29,4.0,0.0,0.0,0.0
2/3/2020,29,0.0,0.0,0.0,0.0
3/3/2020,36,7.0,0.0,0.0,0.0
4/3/2020,50,14.0,0.0,0.0,0.0
5/3/2020,50,0.0,0.0,0.0,0.0
6/3/2020,83,33.0,0.0,0.0,0.0
7/3/2020,93,10.0,1.0,0.0,0.0
8/3/2020,99,6.0,1.0,0.0,2.0
9/3/2020,117,18.0,0.0,0.0,0.0
10/3/2020,129,12.0,1.0,0.0,0.0
11/3/2020,149,20.0,1.0,0.0,0.0
12/3/2020,158,9.0,6.0,0.0,1.0
13/3/2020,197,39.0,0.0,0.0,1.0
14/3/2020,238,41.0,3.0,0.0,1.0
15/3/2020,428,190.0,7.0,0.0,4.0
16/3/2020,553,125.0,0.0,0.0,3.0
17/3/2020,673,120.0,7.0,2.0,0.0
18/3/2020,790,117.0,11.0,0.0,3.0
19/3/2020,900,110.0,15.0,0.0,5.0
20/3/2020,1030,130.0,12.0,0.0,6.0
21/3/2020,1183,153.0,27.0,2.0,11.0
22/3/2020,1306,123.0,25.0,6.0,9.0
23/3/2020,1518,212.0,20.0,4.0,11.0
24/3/2020,1624,106.0,24.0,2.0,7.0
25/3/2020,1796,172.0,16.0,3.0,-19.0
26/3/2020,2031,235.0,16.0,4.0,0.0
27/3/2020,2161,130.0,44.0,3.0,9.0
28/3/2020,2320,159.0,61.0,1.0,19.0
29/3/2020,2470,150.0,68.0,7.0,0.0
30/3/2020,2626,156.0,91.0,3.0,21.0
31/3/2020,2766,140.0,58.0,6.0,0.0
1/4/2020,2908,142.0,108.0,2.0,8.0
2/4/2020,3116,208.0,122.0,5.0,3.0
3/4/2020,3333,217.0,60.0,3.0,3.0
