date,cases,discharged,death,icu,pui,close-contact,tabligh,surveillance,hadr,import,perlis,kedah,pulau-pinang,perak,selangor,negeri-sembilan,melaka,johor,pahang,terengganu,kelantan,sabah,sarawak,wp-kuala-lumpur,wp-putrajaya,wp-labuan
24/1/2020,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
25/1/2020,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,
26/1/2020,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,
27/1/2020,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,
28/1/2020,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,
29/1/2020,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,
30/1/2020,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,
31/1/2020,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2/2/2020,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3/2/2020,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4/2/2020,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,
5/2/2020,12,1,0,0,,,,,,,,,,,,,,,,,,,,,,
6/2/2020,12,1,0,0,,,,,,,,,,,,,,,,,,,,,,
7/2/2020,12,1,0,0,,,,,,,,,,,,,,,,,,,,,,
8/2/2020,16,2,0,0,,,,,,,,,,,,,,,,,,,,,,
9/2/2020,16,3,0,0,,,,,,,,,,,,,,,,,,,,,,
10/2/2020,18,3,0,0,,,,,,,,,,,,,,,,,,,,,,
11/2/2020,18,3,0,0,,,,,,,,,,,,,,,,,,,,,,
12/2/2020,18,3,0,0,,,,,,,,,,,,,,,,,,,,,,
13/2/2020,19,3,0,0,,,,,,,,,,,,,,,,,,,,,,
14/2/2020,19,7,0,0,,,,,,,,,,,,,,,,,,,,,,
15/2/2020,22,7,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
16/2/2020,22,8,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
17/2/2020,22,9,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
18/2/2020,22,11,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
19/2/2020,22,15,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
20/2/2020,22,17,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
21/2/2020,22,17,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
22/2/2020,22,17,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
23/2/2020,22,18,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
24/2/2020,22,20,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
25/2/2020,22,20,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
26/2/2020,22,20,0,0,12.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
27/2/2020,23,22,0,0,,,-,0.0,2,-,,,,,,,,,,,,,,,,
28/2/2020,23,22,0,0,15.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
29/2/2020,25,22,0,0,15.0,8,-,0.0,2,-,,,,,,,,,,,,,,,,
1/3/2020,29,22,0,0,17.0,10,-,0.0,2,-,,,,,,,,,,,,,,,,
2/3/2020,29,22,0,0,17.0,10,-,0.0,2,-,,,,,,,,,,,,,,,,
3/3/2020,36,22,0,0,17.0,17,-,0.0,2,-,,,,,,,,,,,,,,,,
4/3/2020,50,22,0,0,17.0,31,-,0.0,2,-,,,,,,,,,,,,,,,,
5/3/2020,50,22,0,0,17.0,36,-,0.0,2,-,,,,,,,,,,,,,,,,
6/3/2020,83,22,0,0,,,-,0.0,2,-,,,,,,,,,,,,,,,,
7/3/2020,93,23,0,0,,,-,0.0,2,-,,,,,,,,,,,,,,,,
8/3/2020,99,24,0,2,18.0,79,-,0.0,2,-,,,,,,,,,,,,,,,,
9/3/2020,117,24,0,2,19.0,96,-,0.0,2,-,,,,,,,,,,,,,,,,
10/3/2020,129,25,0,2,19.0,108,-,0.0,2,-,,,,,,,,,,,,,,,,
11/3/2020,149,26,0,2,22.0,124,-,1.0,2,-,,,,,,,,,,,,,,,,
12/3/2020,158,32,0,3,26.0,127,-,3.0,2,-,,,,,,,,,,,,,,,,
13/3/2020,197,32,0,4,64.0,128,-,3.0,2,-,1.0,5.0,7.0,2.0,87.0,11.0,1.0,20.0,2.0,0.0,3.0,15.0,0.0,40.0,1,2.0
14/3/2020,238,35,0,5,102.0,131,-,3.0,2,-,2.0,5.0,7.0,2.0,92.0,19.0,6.0,22.0,2.0,0.0,3.0,26.0,6.0,43.0,1,2.0
15/3/2020,428,42,0,9,,,-,,2,-,,,,,,,,,,,,,,,,
16/3/2020,553,42,0,12,411.0,135,-,5.0,2,-,8.0,31.0,15.0,18.0,144.0,42.0,14.0,52.0,19.0,4.0,18.0,57.0,21.0,106.0,-,4.0
17/3/2020,673,49,2,12,93.0,135,433,10.0,2,-,8.0,31.0,23.0,23.0,161.0,45.0,17.0,77.0,28.0,7.0,25.0,82.0,29.0,113.0,-,4.0
18/3/2020,790,60,2,15,123.0,135,513,17.0,2,-,8.0,36.0,30.0,28.0,192.0,45.0,18.0,88.0,29.0,10.0,30.0,103.0,49.0,119.0,-,5.0
19/3/2020,900,75,2,20,170.0,135,576,17.0,2,-,9.0,40.0,32.0,35.0,223.0,56.0,20.0,101.0,32.0,11.0,44.0,112.0,51.0,123.0,6,5.0
20/3/2020,1030,87,2,26,204.0,177,624,23.0,2,-,9.0,41.0,37.0,45.0,263.0,65.0,22.0,114.0,36.0,20.0,51.0,119.0,58.0,139.0,6,5.0
